humedad,hora,sonido,tipo_sensor_enc,es_noche,peso,alerta_temperatura
77.61,0,51.32,1,1,15.91,0
74.25,0,44.58,1,1,15.91,0
75.64,0,44.21,1,1,15.91,0
72.36,0,45.82,1,1,15.91,0
75.25,1,48.32,1,1,15.91,0
72.21,1,46.92,1,1,15.91,0
75.6,1,46.0,1,1,15.91,0
71.17,1,50.08,1,1,15.91,0
71.17,2,53.66,1,1,15.91,0
71.42,2,50.84,1,1,15.91,0
73.46,2,44.34,1,1,15.91,0
73.38,2,47.12,1,1,15.91,0
69.61,3,53.7,1,1,15.91,0
71.41,3,49.98,1,1,15.91,0
71.41,3,49.98,1,1,15.91,0
68.58,3,52.29,1,1,15.91,0
69.54,4,45.41,1,1,15.91,0
69.54,4,45.41,1,1,15.91,0
70.22,4,51.07,1,1,15.91,0
70.22,4,47.58,1,1,15.91,0
65.23,5,47.31,1,1,15.91,0
64.53,5,51.3,1,1,15.91,0
62.78,5,45.2,1,1,15.91,0
62.78,5,51.71,1,1,15.91,0
61.97,6,44.25,1,1,15.91,0
63.6,6,47.14,1,1,15.91,0
58.32,6,48.1,1,1,15.91,0
58.61,6,46.9,1,1,15.91,0
59.44,7,66.33,1,0,15.91,0
55.9,7,68.93,1,0,15.91,0
58.67,7,63.18,1,0,15.91,0
57.25,7,68.18,1,0,15.91,0
57.58,8,64.17,1,0,15.91,0
57.58,8,64.17,1,0,15.91,0
55.69,8,63.64,1,0,15.91,0
51.51,8,64.97,1,0,15.91,0
51.79,9,66.1,1,0,15.91,0
53.1,9,69.08,1,0,15.91,0
53.37,9,69.86,1,0,15.91,0
52.73,9,62.38,1,0,15.91,0
52.53,10,66.34,1,0,15.91,0
53.96,10,63.21,1,0,15.91,0
52.54,10,66.78,1,0,15.91,0
49.06,10,66.45,1,0,15.91,0
49.11,11,69.37,1,0,15.91,0
48.57,11,69.25,1,0,15.91,0
51.41,11,68.17,1,0,15.91,0
48.46,11,60.93,1,0,15.91,0
49.31,12,63.39,1,0,15.91,0
51.16,12,68.87,1,0,15.91,0
47.41,12,61.62,1,0,15.91,0
47.27,12,61.01,1,0,15.91,0
49.96,13,65.49,1,0,15.91,0
48.66,13,67.12,1,0,15.91,0
52.49,13,66.5,1,0,15.91,0
50.99,13,60.94,1,0,15.91,0
50.88,14,69.73,1,0,15.91,0
51.45,14,67.95,1,0,15.91,0
52.14,14,61.95,1,0,15.91,0
51.18,14,66.45,1,0,15.91,0
54.5,15,69.15,1,0,15.91,0
57.63,15,64.28,1,0,15.91,0
55.17,15,62.94,1,0,15.91,0
53.47,15,61.69,1,0,15.91,0
55.82,16,65.7,1,0,15.91,0
58.95,16,61.4,1,0,15.91,0
57.7,16,66.97,1,0,15.91,0
57.71,16,68.09,1,0,15.91,0
60.15,17,65.11,1,0,15.91,0
59.84,17,67.02,1,0,15.91,0
58.82,17,63.76,1,0,15.91,0
59.04,17,64.66,1,0,15.91,0
63.47,18,60.31,1,0,15.91,0
61.59,18,61.27,1,0,15.91,0
61.84,18,66.23,1,0,15.91,0
66.3,18,65.41,1,0,15.91,0
67.39,19,65.16,1,0,15.91,0
64.46,19,64.39,1,0,15.91,0
70.91,19,68.36,1,0,15.91,0
66.6,19,61.56,1,0,15.91,0
69.63,20,50.6,1,1,15.91,0
69.28,20,49.54,1,1,15.91,0
69.04,20,47.56,1,1,15.91,0
70.18,20,44.46,1,1,15.91,0
71.3,21,48.74,1,1,15.91,0
71.77,21,45.73,1,1,15.91,0
73.28,21,50.35,1,1,15.91,0
73.87,21,49.03,1,1,15.91,0
73.87,22,49.03,1,1,15.91,0
75.5,22,53.4,1,1,15.91,0
75.09,22,48.58,1,1,15.91,0
72.49,22,53.61,1,1,15.91,0
73.3,23,45.01,1,1,15.91,0
73.3,23,45.01,1,1,15.91,0
71.52,23,52.14,1,1,15.91,0
77.06,23,50.29,1,1,15.91,0
75.83,0,46.82,1,1,15.91,0
75.78,0,53.91,1,1,15.91,0
76.63,0,47.41,1,1,15.91,0
76.63,0,51.51,1,1,15.91,0
77.73,1,49.05,1,1,15.91,0
76.83,1,47.89,1,1,15.91,0
70.83,1,47.19,1,1,15.91,0
72.78,1,50.32,1,1,15.91,0
73.05,2,50.73,1,1,15.91,0
73.48,2,44.91,1,1,15.91,0
73.92,2,48.42,1,1,15.91,0
70.39,2,45.43,1,1,15.91,0
68.97,3,44.84,1,1,15.91,0
73.55,3,51.06,1,1,15.91,0
73.71,3,47.74,1,1,15.91,0
70.74,3,53.86,1,1,15.91,0
66.98,4,51.77,1,1,15.91,0
70.23,4,45.11,1,1,15.91,0
68.47,4,44.56,1,1,15.91,0
68.29,4,51.46,1,1,15.91,0
63.7,5,46.86,1,1,15.91,0
67.97,5,44.12,1,1,15.91,0
67.31,5,49.28,1,1,15.91,0
64.72,5,53.69,1,1,15.91,0
63.0,6,48.55,1,1,15.91,0
