sensor_id,mac_address,tipo_sensor,colmena_id,colmena_nombre,apiario_nombre,ubicacion,temperatura,humedad,peso,sonido,lluvia,fecha_registro
3.0,A2:04:2A:B9:C1:D9,Multisensor,3,Colmena Beta Lab,Apiario Laboratorio,"20.6597 N, 103.3496 W",19.45,77.85,16.04,46.95,False,2025-05-28 00:45:00
1.0,AA:BB:CC:11:22:33,Temperatura/Humedad,1,Colmena Alfa Ppal,Apiario Principal,"19.4326 N, 99.1332 W",21.82,70.67,,47.1,no,2025-06-08 03:15:00
1.0,AA:BB:CC:11:22:33,Temperatura/Humedad,1,Colmena Alfa Ppal,Apiario Principal,"19.4326 N, 99.1332 W",21.62,70.35,,51.94,False,2025-06-11 02:30:00
2.0,AA:BB:CC:11:22:44,Multisensor,2,Colmena Gamma Ppal,Apiario Principal,"19.4326 N, 99.1332 W",21.7,71.64,14.66,50.32,False,2025-05-17 22:15:00
1.0,AA:BB:CC:11:22:33,Temperatura/Humedad,1,Colmena Alfa Ppal,Apiario Principal,"19.4326 N, 99.1332 W",33.1,,,63.24,False,2025-05-25 14:15:00
1.0,AA:BB:CC:11:22:33,Temperatura/Humedad,1,Colmena Alfa Ppal,Apiario Principal,"19.4326 N, 99.1332 W",21.69,74.4,,47.89,True,2025-06-05 02:15:00
2.0,AA:BB:CC:11:22:44,Multisensor,2,Colmena Gamma Ppal,Apiario Principal,"19.4326 N, 99.1332 W",,,16.57,66.1,False,2025-06-10 13:00:00
1.0,AA:BB:CC:11:22:33,Temperatura/Humedad,1,Colmena Alfa Ppal,Apiario Principal,"19.4326 N, 99.1332 W",30.61,55.99,,60.88,False,2025-05-18 08:15:00
2.0,AA:BB:CC:11:22:44,Multisensor,2,Colmena Gamma Ppal,Apiario Principal,"19.4326 N, 99.1332 W",27.91,60.94,15.67,52.8,False,2025-05-30 05:30:00
3.0,A2:04:2A:B9:C1:D9,Multisensor,3,Colmena Beta Lab,Apiario Laboratorio,"20.6597 N, 103.3496 W",28.98,56.4,16.8,66.3,False,2025-06-07 16:30:00
3.0,A2:04:2A:B9:C1:D9,Multisensor,3,Colmena Beta Lab,Apiario Laboratorio,"20.6597 N, 103.3496 W",25.06,65.49,16.51,66.01,False,2025-06-03 18:30:00
3.0,A2:04:2A:B9:C1:D9,Multisensor,3,Colmena Beta Lab,Apiario Laboratorio,"20.6597 N, 103.3496 W",,,15.36,,False,2025-05-20 11:30:00
2.0,AA:BB:CC:11:22:44,Multisensor,2,Colmena Gamma Ppal,Apiario Principal,"19.4326 N, 99.1332 W",35.32,45.14,16.86,65.33,False,2025-06-13 13:00:00
1.0,AA:BB:CC:11:22:33,Temperatura/Humedad,1,Colmena Alfa Ppal,Apiario Principal,"19.4326 N, 99.1332 W",33.34,52.12,,63.78,True,2025-06-08 11:00:00
2.0,AA:BB:CC:11:22:44,Multisensor,2,Colmena Gamma Ppal,Apiario Principal,"19.4326 N, 99.1332 W",22.28,,16.12,53.69,False,2025-06-05 02:45:00
3.0,A2:04:2A:B9:C1:D9,Multisensor,3,Colmena Beta Lab,Apiario Laboratorio,"20.6597 N, 103.3496 W",20.93,75.72,15.45,49.75,False,2025-05-20 02:45:00
2.0,AA:BB:CC:11:22:44,Multisensor,2,Colmena Gamma Ppal,Apiario Principal,"19.4326 N, 99.1332 W",34.23,47.7,16.59,65.06,False,2025-06-10 14:30:00
2.0,AA:BB:CC:11:22:44,Multisensor,2,Colmena Gamma Ppal,Apiario Principal,"19.4326 N, 99.1332 W",23.71,67.93,15.87,53.47,False,2025-06-01 20:45:00
1.0,AA:BB:CC:11:22:33,Temperatura/Humedad,1,Colmena Alfa Ppal,Apiario Principal,"19.4326 N, 99.1332 W",32.73,54.11,,69.75,False,2025-06-01 14:45:00
1.0,AA:BB:CC:11:22:33,Temperatura/Humedad,1,Colmena Alfa Ppal,Apiario Principal,"19.4326 N, 99.1332 W",29.37,59.59,,63.24,False,2025-06-07 16:45:00
2.0,AA:BB:CC:11:22:44,Multisensor,2,Colmena Gamma Ppal,Apiario Principal,"19.4326 N, 99.1332 W",22.32,72.27,16.47,47.77,False,2025-06-08 02:00:00
2.0,AA:BB:CC:11:22:44,Multisensor,2,Colmena Gamma Ppal,Apiario Principal,"19.4326 N, 99.1332 W",31.8,54.54,15.19,60.93,False,2025-05-23 08:30:00
2.0,AA:BB:CC:11:22:44,Multisensor,2,Colmena Gamma Ppal,Apiario Principal,"19.4326 N, 99.1332 W",22.5,72.32,16.73,46.64,False,2025-06-12 21:00:00
2.0,AA:BB:CC:11:22:44,Multisensor,2,Colmena Gamma Ppal,Apiario Principal,"19.4326 N, 99.1332 W",,105.43,15.88,,False,2025-06-02 20:30:00
2.0,AA:BB:CC:11:22:44,Multisensor,2,Colmena Gamma Ppal,Apiario Principal,"19.4326 N, 99.1332 W",20.43,76.03,15.13,44.04,False,2025-05-23 00:15:00
1.0,AA:BB:CC:11:22:33,Temperatura/Humedad,1,Colmena Alfa Ppal,Apiario Principal,"19.4326 N, 99.1332 W",27.87,61.37,,45.67,False,2025-05-31 06:15:00
3.0,A2:04:2A:B9:C1:D9,Multisensor,3,Colmena Beta Lab,Apiario Laboratorio,"20.6597 N, 103.3496 W",26.68,62.82,15.11,51.9,False,2025-05-16 06:30:00
